Date,Adj Close
2021-06-14,40218.4765625
2021-06-15,40406.26953125
2021-06-16,38347.0625
2021-06-17,38053.50390625
2021-06-18,35787.24609375
2021-06-19,35615.87109375
2021-06-20,35698.296875
2021-06-21,31676.693359375004
2021-06-22,32505.660156249996
2021-06-23,33723.02734375
2021-06-24,34662.4375
2021-06-25,31637.779296875
2021-06-26,32186.277343750004
2021-06-27,34649.64453125
2021-06-28,34434.3359375
2021-06-29,35867.77734375
2021-06-30,35040.8359375
2021-07-01,33572.1171875
2021-07-02,33897.046875
2021-07-03,34668.546875
2021-07-04,35287.78125
2021-07-05,33746.00390625
2021-07-06,34235.1953125
2021-07-07,33855.328125
2021-07-08,32877.37109375
2021-07-09,33798.01171875
2021-07-10,33520.51953125
2021-07-11,34240.1875
2021-07-12,33155.84765625
2021-07-13,32702.025390625
2021-07-14,32822.34765625
2021-07-15,31780.73046875
2021-07-16,31421.539062499996
2021-07-17,31533.068359375
2021-07-18,31796.810546874996
2021-07-19,30817.832031250004
2021-07-20,29807.34765625
2021-07-21,32110.693359375
2021-07-22,32313.10546875
2021-07-23,33581.55078125
2021-07-24,34292.4453125
2021-07-25,35350.1875
2021-07-26,37337.53515625
2021-07-27,39406.94140625
2021-07-28,39995.90625
2021-07-29,40008.421875
2021-07-30,42235.546875
2021-07-31,41626.1953125
2021-08-01,39974.89453125
2021-08-02,39201.9453125
2021-08-03,38152.98046875
2021-08-04,39747.50390625
2021-08-05,40869.5546875
2021-08-06,42816.5
2021-08-07,44555.80078125
2021-08-08,43798.1171875
2021-08-09,46365.40234375001
2021-08-10,45585.03125000001
2021-08-11,45593.63671875
2021-08-12,44428.28906250001
2021-08-13,47793.3203125
2021-08-14,47096.9453125
2021-08-15,47047.00390625001
2021-08-16,46004.484375
2021-08-17,44695.359375
2021-08-18,44801.1875
2021-08-19,46717.57812500001
2021-08-20,49339.17578125
2021-08-21,48905.4921875
2021-08-22,49321.65234375001
2021-08-23,49546.14843750001
2021-08-24,47706.11718750001
2021-08-25,48960.7890625
2021-08-26,46942.21875000001
2021-08-27,49058.66796875001
2021-08-28,48902.40234375
2021-08-29,48829.83203125001
2021-08-30,47054.98437500001
2021-08-31,47166.6875
2021-09-01,48847.02734375
2021-09-02,49327.72265625001
2021-09-03,50025.37500000001
2021-09-04,49944.625
2021-09-05,51753.41015625001
2021-09-06,52633.53515625001
2021-09-07,46811.12890625
2021-09-08,46091.39062500001
2021-09-09,46391.42187500001
2021-09-10,44883.91015625
2021-09-11,45201.45703125001
2021-09-12,46063.26953125
2021-09-13,44963.07421875001
2021-09-14,47092.49218750001
2021-09-15,48176.34765625
2021-09-16,47783.359375
2021-09-17,47267.51953125
2021-09-18,48278.36328125
2021-09-19,47260.21875
2021-09-20,42843.80078125
2021-09-21,40693.67578125
2021-09-22,43574.5078125
2021-09-23,44895.09765625001
